timestamp,raw_value,attention,label
1644052141.971425,-411,35,2
1644052141.973974,-402,35,2
1644052141.975301,-373,35,2
1644052141.977725,-347,35,2
1644052141.9787362,-343,35,2
1644052141.981324,-345,35,2
1644052141.983958,-363,35,2
1644052141.985183,-371,35,2
1644052141.987751,-369,35,2
1644052141.988927,-358,35,2
1644052141.991467,-341,35,2
1644052141.9939892,-333,35,2
1644052141.995185,-349,35,2
1644052141.996219,-361,35,2
1644052141.998733,-342,35,2
1644052142.001463,-311,35,2
1644052142.0027032,-307,35,2
1644052142.005143,-306,35,2
1644052142.006498,-290,35,2
1644052142.009025,-266,35,2
1644052142.010229,-248,35,2
1644052142.012527,-234,35,2
1644052142.013823,-209,35,2
1644052142.016334,-181,35,2
1644052142.018962,-171,35,2
1644052142.0202591,-178,35,2
1644052142.022768,-171,35,2
1644052142.023963,-151,35,2
1644052142.0264618,-140,35,2
1644052142.027721,-165,35,2
1644052142.030027,-193,35,2
1644052142.0325902,-209,35,2
1644052142.034029,-206,35,2
1644052142.036244,-195,35,2
1644052142.037607,-180,35,2
1644052142.0402172,-166,35,2
1644052142.04147,-148,35,2
1644052142.043846,-113,35,2
1644052142.046334,-68,35,2
1644052142.0477161,-30,35,2
1644052142.0502021,6,35,2
1644052142.0515141,32,35,2
1644052142.053843,19,35,2
1644052142.055082,-22,35,2
1644052142.057683,-52,35,2
1644052142.0590038,-61,35,2
1644052142.061435,-52,35,2
1644052142.0638878,-43,35,2
1644052142.0650492,-40,35,2
1644052142.107699,-36,35,2
1644052142.109035,-36,35,2
1644052142.110235,-26,35,2
1644052142.111635,-1,35,2
1644052142.115401,32,35,2
1644052142.1155012,55,35,2
1644052142.1155908,53,35,2
1644052142.115679,24,35,2
1644052142.115767,-3,35,2
1644052142.115854,9,35,2
1644052142.115941,43,35,2
1644052142.116092,72,35,2
1644052142.11618,73,35,2
1644052142.116266,53,35,2
1644052142.116351,58,35,2
1644052142.116436,92,35,2
1644052142.116521,115,35,2
1644052142.1166139,115,35,2
1644052142.116669,118,35,2
1644052142.116724,124,35,2
1644052142.116779,120,35,2
1644052142.1168342,102,35,2
1644052142.1168902,89,35,2
1644052142.1169448,88,35,2
1644052142.117523,93,35,2
1644052142.1189,99,35,2
1644052142.120121,112,35,2
1644052142.1213472,128,35,2
1644052142.1265652,140,35,2
1644052142.127715,138,35,2
1644052142.131403,122,35,2
1644052142.132722,125,35,2
1644052142.133975,138,35,2
1644052142.135231,140,35,2
1644052142.135332,136,35,2
1644052142.137727,149,35,2
1644052142.138963,168,35,2
1644052142.14021,168,35,2
1644052142.141456,147,35,2
1644052142.143839,128,35,2
1644052142.1451242,128,35,2
1644052142.147578,140,35,2
1644052142.1487439,151,35,2
1644052142.151454,137,35,2
1644052142.152709,112,35,2
1644052142.15503,91,35,2
1644052142.1576982,99,35,2
1644052142.158977,119,35,2
1644052142.1616828,121,35,2
1644052142.162539,118,35,2
1644052142.164995,112,35,2
1644052142.166486,92,35,2
1644052142.168969,106,35,2
1644052142.170252,133,35,2
1644052142.173141,151,35,2
1644052142.175055,173,35,2
1644052142.176252,176,35,2
1644052142.178709,161,35,2
1644052142.180016,148,35,2
1644052142.182635,153,35,2
1644052142.1852312,163,35,2
1644052142.186516,144,35,2
1644052142.1877172,128,35,2
1644052142.19022,132,35,2
1644052142.1927109,136,35,2
1644052142.19396,144,35,2
1644052142.196338,146,35,2
1644052142.197655,148,35,2
1644052142.1999931,157,35,2
1644052142.2014751,162,35,2
1644052142.2038221,154,35,2
1644052142.20651,150,35,2
1644052142.2076879,140,35,2
1644052142.210151,120,35,2
1644052142.211568,101,35,2
1644052142.2139862,81,35,2
1644052142.216352,69,35,2
1644052142.21786,68,35,2
1644052142.2199879,84,35,2
1644052142.221355,113,35,2
1644052142.223815,152,35,2
1644052142.225012,195,35,2
1644052142.227749,179,35,2
1644052142.228873,121,35,2
1644052142.231272,85,35,2
1644052142.233734,71,35,2
1644052142.2348852,68,35,2
1644052142.237616,88,35,2
1644052142.2388349,123,35,2
1644052142.2414908,157,35,2
1644052142.2427058,172,35,2
1644052142.245016,163,35,2
1644052142.247363,141,35,2
1644052142.248599,119,35,2
1644052142.251271,108,35,2
1644052142.2526321,122,35,2
1644052142.2550242,132,35,2
1644052142.2564008,128,35,2
1644052142.2588348,128,35,2
1644052142.266307,152,16,2
1644052142.26771,194,16,2
1644052142.268987,227,16,2
1644052142.271428,226,16,2
1644052142.2727199,183,16,2
1644052142.273958,136,16,2
1644052142.2752798,106,16,2
1644052142.277738,86,16,2
1644052142.278829,60,16,2
1644052142.279967,56,16,2
1644052142.281278,67,16,2
1644052142.28249,70,16,2
1644052142.283983,72,16,2
1644052142.2864919,68,16,2
1644052142.2889721,55,16,2
1644052142.2902431,54,16,2
1644052142.291457,70,16,2
1644052142.293986,82,16,2
1644052142.296334,76,16,2
1644052142.2974799,75,16,2
1644052142.3002,92,16,2
1644052142.3014789,101,16,2
1644052142.303752,87,16,2
1644052142.3052092,71,16,2
1644052142.307792,59,16,2
1644052142.309061,41,16,2
1644052142.3177888,28,16,2
1644052142.319027,32,16,2
1644052142.342753,38,16,2
1644052142.3439639,53,16,2
1644052142.3451169,73,16,2
1644052142.348562,90,16,2
1644052142.34868,104,16,2
1644052142.3487701,118,16,2
1644052142.348864,119,16,2
1644052142.348952,105,16,2
1644052142.349039,83,16,2
1644052142.3491259,69,16,2
1644052142.349212,75,16,2
1644052142.349299,100,16,2
1644052142.349385,117,16,2
1644052142.349472,123,16,2
1644052142.349558,118,16,2
1644052142.349647,115,16,2
1644052142.3499808,104,16,2
1644052142.3515189,97,16,2
1644052142.354024,101,16,0
1644052142.354964,98,16,0
1644052142.356499,77,16,0
1644052142.357684,41,16,0
1644052142.359018,18,16,0
1644052142.360245,20,16,0
1644052142.3625998,44,16,0
1644052142.365033,66,16,0
1644052142.404017,66,16,0
1644052142.405225,49,16,0
1644052142.407788,38,16,0
1644052142.411718,44,16,0
1644052142.411834,50,16,0
1644052142.411932,44,16,0
1644052142.412025,39,16,0
1644052142.4121118,49,16,0
1644052142.412361,57,16,0
1644052142.412629,38,16,0
1644052142.412971,7,16,0
1644052142.413281,8,16,0
1644052142.413459,11,16,0
1644052142.4136589,-3,16,0
1644052142.413852,-6,16,0
1644052142.4139469,19,16,0
1644052142.41412,43,16,0
1644052142.414281,36,16,0
1644052142.414397,29,16,0
1644052142.414484,41,16,0
1644052142.4145741,52,16,0
1644052142.414689,61,16,0
1644052142.414904,82,16,0
1644052142.415162,89,16,0
1644052142.41533,84,16,0
1644052142.416256,77,16,0
1644052142.417696,73,16,0
1644052142.420226,72,16,0
1644052142.421419,75,16,0
1644052142.4227269,74,16,0
1644052142.426466,58,16,0
1644052142.427721,43,16,0
1644052142.4287622,64,16,0
1644052142.431376,91,16,0
1644052142.432771,104,16,0
1644052142.4339619,98,16,0
1644052142.436488,77,16,0
1644052142.440235,70,16,0
1644052142.4414651,67,16,0
1644052142.442795,40,16,0
1644052142.445188,23,16,0
1644052142.446264,27,16,0
1644052142.4474921,44,16,0
1644052142.4515011,54,16,0
1644052142.4527209,52,16,0
1644052142.453823,44,16,0
1644052142.456482,35,16,0
1644052142.457694,32,16,0
1644052142.4602199,49,16,0
1644052142.462545,70,16,0
1644052142.463855,75,16,0
1644052142.4813461,59,16,0
1644052142.482524,40,16,0
1644052142.483979,33,16,0
1644052142.485227,34,16,0
1644052142.486698,48,16,0
1644052142.486799,45,16,0
1644052142.486892,22,16,0
1644052142.4869812,5,16,0
1644052142.487068,10,16,0
1644052142.487156,26,16,0
1644052142.487366,42,16,0
1644052142.487457,56,16,0
1644052142.488966,71,16,0
1644052142.491476,69,16,0
1644052142.497599,61,16,0
1644052142.4987588,60,16,0
1644052142.500194,57,16,0
1644052142.501472,52,16,0
1644052142.5027509,50,16,0
1644052142.505249,41,16,0
1644052142.5064871,21,16,0
1644052142.507688,-1,16,0
1644052142.5090408,-2,16,0
1644052142.512539,36,16,0
1644052142.513823,73,16,0
1644052142.516343,73,16,0
1644052142.517767,51,16,0
1644052142.518983,38,16,0
1644052142.520273,37,16,0
1644052142.523962,53,16,0
1644052142.525183,64,16,0
1644052142.526477,57,16,0
1644052142.527742,35,16,0
1644052142.531302,17,16,0
1644052142.53261,5,16,0
1644052142.5340202,-2,16,0
1644052142.536299,6,16,0
1644052142.5375512,16,16,0
1644052142.5401988,17,16,0
1644052142.5413811,20,16,0
1644052142.543892,28,16,0
1644052142.5450492,39,16,0
1644052142.547502,28,16,0
1644052142.55142,3,16,0
1644052142.552635,-14,16,0
1644052142.5537548,-5,16,0
1644052142.556418,32,16,0
1644052142.5576031,51,16,0
1644052142.5588841,49,16,0
1644052142.561527,50,16,0
1644052142.563914,61,16,0
1644052142.56494,74,16,0
1644052142.567459,80,16,0
1644052142.568962,82,16,0
1644052142.5713549,77,16,0
1644052142.5726771,70,16,0
1644052142.575277,49,16,0
1644052142.576498,21,16,0
1644052142.5788212,18,16,0
1644052142.5812988,37,16,0
1644052142.582539,48,16,0
1644052142.5851939,40,16,0
1644052142.586526,36,16,0
1644052142.5889359,56,16,0
1644052142.60527,77,16,0
1644052142.6065018,77,16,0
1644052142.607688,67,16,0
1644052142.610147,58,16,0
1644052142.611718,64,16,0
1644052142.6118138,76,16,0
1644052142.611982,87,16,0
1644052142.612109,83,16,0
1644052142.6122,86,16,0
1644052142.612451,91,16,0
1644052142.612548,93,16,0
1644052142.6126359,99,16,0
1644052142.613827,104,16,0
1644052142.6165361,101,16,0
1644052142.6189702,91,16,0
1644052142.620223,70,16,0
1644052142.621513,48,16,0
1644052142.623971,43,16,0
1644052142.626472,43,16,0
1644052142.627699,38,16,0
1644052142.630023,36,16,0
1644052142.6312551,33,16,0
1644052142.6340349,25,16,0
1644052142.635187,26,16,0
1644052142.637732,28,16,0
1644052142.6402209,32,16,0
1644052142.6414652,12,16,0
1644052142.643852,-24,16,0
1644052142.646306,-51,16,0
1644052142.647506,-59,16,0
1644052142.648774,-66,16,0
1644052142.651468,-27,16,0
1644052142.65269,24,16,0
1644052142.6552398,59,16,0
1644052142.657739,84,16,0
1644052142.658978,96,16,0
1644052142.6614249,98,16,0
1644052142.662581,103,16,0
1644052142.665063,113,16,0
1644052142.7139049,113,16,0
1644052142.7151139,92,16,0
1644052142.716558,60,16,0
1644052142.717689,50,16,0
1644052142.7230341,66,16,0
1644052142.7231328,87,16,0
1644052142.7232242,102,16,0
1644052142.7233138,116,16,0
1644052142.723402,107,16,0
1644052142.723613,83,16,0
1644052142.723707,65,16,0
1644052142.7237918,50,16,0
1644052142.723878,42,16,0
1644052142.723964,34,16,0
1644052142.7240489,32,16,0
1644052142.724135,33,16,0
1644052142.7242198,28,16,0
1644052142.724305,20,16,0
1644052142.7243898,4,16,0
1644052142.7244759,-2,16,0
1644052142.724561,0,16,0
1644052142.7246459,-6,16,0
1644052142.724902,-11,16,0
1644052142.724996,-6,16,0
1644052142.725085,-2,16,0
1644052142.725173,-17,16,0
1644052142.72526,-34,16,0
1644052142.725346,-37,16,0
1644052142.7254322,-22,16,0
1644052142.726521,5,16,0
1644052142.7277691,34,16,0
1644052142.7288508,45,16,0
1644052142.731236,41,16,0
1644052142.7326322,27,16,0
1644052142.734022,18,16,0
1644052142.735188,6,16,0
1644052142.737737,0,16,0
1644052142.7402308,13,16,0
1644052142.741466,38,16,0
1644052142.7426822,41,16,0
1644052142.745141,37,16,0
1644052142.747465,40,16,0
1644052142.7487192,42,16,0
1644052142.750197,39,16,0
1644052142.752686,26,16,0
1644052142.75521,5,16,0
1644052142.756462,0,16,0
1644052142.758954,0,16,0
1644052142.760194,-8,16,0
1644052142.762617,-2,16,0
1644052142.763804,3,16,0
1644052142.7663429,-6,16,0
1644052142.768971,-21,16,0
1644052142.7702231,-12,16,0
1644052142.7727518,-1,16,0
1644052142.773973,2,16,0
1644052142.776534,-5,16,0
1644052142.778869,-18,16,0
1644052142.7799501,-9,16,0
1644052142.782559,16,16,0
1644052142.784091,29,16,0
1644052142.7865222,36,16,0
1644052142.787719,27,16,0
1644052142.7902799,10,16,0
1644052142.791467,-2,16,0
1644052142.793984,9,16,0
1644052142.796285,26,16,0
1644052142.7988238,22,16,0
1644052142.800189,6,16,0
1644052142.801524,2,16,0
1644052142.803828,8,16,0
1644052142.80651,12,16,0
1644052142.807762,6,16,0
1644052142.809055,-1,16,0
1644052142.811541,-7,16,0
1644052142.813934,-7,16,0
1644052142.81493,4,16,0
1644052142.817688,12,16,0
1644052142.819018,19,16,0
1644052142.821428,34,16,0
1644052142.8227232,44,16,0
1644052142.825184,44,16,0
1644052142.827723,36,16,0
1644052142.828768,22,16,0
1644052142.831359,8,16,0
1644052142.832719,13,16,0
1644052142.8352032,34,16,0
1644052142.836491,49,16,0
1644052142.838948,44,16,0
1644052142.84148,49,16,0
1644052142.842762,59,16,0
1644052142.8440871,64,16,0
1644052142.846499,57,16,0
1644052142.848879,45,16,0
1644052142.850183,25,16,0
1644052142.8527539,10,16,0
1644052142.853845,9,16,0
1644052142.856267,28,16,0
1644052142.857746,57,16,0
1644052142.865154,72,16,0
1644052142.8665102,60,16,0
1644052142.867687,51,16,0
1644052142.869021,64,16,0
1644052142.870232,81,16,0
1644052142.87143,76,16,0
1644052142.873972,64,16,0
1644052142.8752909,53,16,0
1644052142.876516,45,16,0
1644052142.877769,43,16,0
1644052142.880048,41,16,0
1644052142.8825228,39,16,0
1644052142.8840299,53,16,0
1644052142.8852742,77,16,0
1644052142.887753,73,16,0
1644052142.890238,51,16,0
1644052142.891476,49,16,0
1644052142.8939872,55,16,0
1644052142.8951712,50,16,0
1644052142.897556,43,16,0
1644052142.8987122,48,16,0
1644052142.901463,43,16,0
1644052142.903841,41,16,0
1644052142.905338,38,16,0
1644052142.9077382,35,16,0
1644052142.909028,45,16,0
1644052142.911757,50,16,0
1644052142.912729,40,16,0
1644052142.915114,37,16,0
1644052142.9164789,41,16,0
1644052142.918983,51,16,0
1644052142.92143,64,16,0
1644052142.92273,60,16,0
1644052142.925196,44,16,0
1644052142.926541,26,16,0
1644052142.9288461,20,16,0
1644052142.929995,19,16,0
1644052142.932572,13,16,0
1644052142.934023,4,16,0
1644052142.9364831,0,16,0
1644052142.938943,8,16,0
1644052142.940219,27,16,0
1644052142.942734,40,16,0
1644052142.94397,34,16,0
1644052142.946333,26,16,0
1644052142.9489222,37,16,0
1644052142.950349,55,16,0
1644052142.951543,67,16,0
1644052142.953835,54,16,0
1644052142.95647,26,16,0
1644052142.9577322,12,16,0
1644052143.025301,8,16,0
1644052143.0265129,16,16,0
1644052143.032578,19,16,0
1644052143.035226,11,16,0
1644052143.0489368,18,16,0
1644052143.0490339,27,16,0
1644052143.049123,40,16,0
1644052143.0492108,65,16,0
1644052143.0492978,82,16,0
1644052143.049385,70,16,0
1644052143.049472,49,16,0
1644052143.0497751,37,16,0
1644052143.049888,35,16,0
1644052143.049978,36,16,0
1644052143.0500648,32,16,0
1644052143.0501509,28,16,0
1644052143.050237,32,16,0
1644052143.050323,19,16,0
1644052143.050408,2,16,0
1644052143.050494,-5,16,0
1644052143.05058,-2,16,0
1644052143.050666,20,16,0
1644052143.050751,28,16,0
1644052143.050836,28,16,0
1644052143.050921,27,16,0
1644052143.0510058,24,16,0
1644052143.051091,22,16,0
1644052143.0511758,28,16,0
1644052143.05126,38,16,0
1644052143.0513458,34,16,0
1644052143.05143,18,16,0
1644052143.0515149,19,16,0
1644052143.0516,28,16,0
1644052143.051695,28,16,0
1644052143.051779,20,16,0
1644052143.0518641,17,16,0
1644052143.051948,29,16,0
1644052143.052033,44,16,0
1644052143.052117,54,16,0
1644052143.052202,50,16,0
1644052143.058987,28,16,0
1644052143.0604181,9,16,0
1644052143.066373,-2,16,0
1644052143.068979,-4,16,0
1644052143.069085,3,16,0
1644052143.0691772,5,16,0
1644052143.069283,3,16,0
1644052143.0696099,6,16,0
1644052143.069758,22,16,0
1644052143.070086,38,16,0
1644052143.0702112,36,16,0
1644052143.070303,33,16,0
1644052143.07039,45,16,0
1644052143.070477,58,16,0
1644052143.071442,56,16,0
1644052143.071536,44,16,0
1644052143.071727,32,16,0
1644052143.072505,20,16,0
1644052143.0740259,10,16,0
1644052143.075179,8,16,0
1644052143.0777118,9,16,0
1644052143.078814,12,16,0
1644052143.081227,9,16,0
1644052143.086829,21,16,0
1644052143.087616,55,16,0
1644052143.097512,64,16,0
1644052143.0989718,18,16,0
1644052143.1053472,-25,16,0
1644052143.106688,-21,16,0
1644052143.108016,13,16,0
1644052143.108139,50,16,0
1644052143.108253,57,16,0
1644052143.1083431,54,16,0
1644052143.1092658,66,16,0
1644052143.1102111,77,16,0
1644052143.110314,83,16,0
1644052143.110623,81,16,0
1644052143.1125388,59,16,0
1644052143.114005,35,16,0
1644052143.114964,22,16,0
1644052143.118975,19,16,0
1644052143.120131,23,16,0
1644052143.121448,28,16,0
1644052143.1229079,54,16,0
1644052143.1626549,92,16,0
1644052143.165023,97,16,0
1644052143.1691751,61,16,0
1644052143.169277,32,16,0
1644052143.1693702,25,16,0
1644052143.1694589,42,16,0
1644052143.169569,65,16,0
1644052143.1696582,67,16,0
1644052143.170078,52,16,0
1644052143.170181,25,16,0
1644052143.170269,7,16,0
1644052143.170364,-1,16,0
1644052143.170451,-3,16,0
1644052143.170536,5,16,0
1644052143.170621,18,16,0
1644052143.170707,26,16,0
1644052143.1707919,33,16,0
1644052143.1708758,25,16,0
1644052143.170976,18,16,0
1644052143.17119,17,16,0
1644052143.171284,32,16,0
1644052143.1713731,23,16,0
1644052143.171461,-3,16,0
1644052143.171548,-12,16,0
1644052143.1728032,-10,16,0
1644052143.174025,-7,16,0
1644052143.1752949,-12,16,0
1644052143.17771,-20,16,0
1644052143.1788192,-5,16,0
1644052143.1799722,18,16,0
1644052143.182554,21,16,0
1644052143.185198,6,16,0
1644052143.186497,7,16,0
1644052143.187812,16,16,0
1644052143.190235,18,16,0
1644052143.192694,40,16,0
1644052143.193984,65,16,0
1644052143.1962712,67,16,0
1644052143.197463,38,16,0
1644052143.200324,0,16,0
1644052143.202695,-17,16,0
1644052143.204053,-21,16,0
1644052143.206493,-25,16,0
1644052143.207741,-22,16,0
1644052143.210111,-10,16,0
1644052143.211543,-4,16,0
1644052143.213779,-8,16,0
1644052143.214999,-11,16,0
1644052143.217715,20,16,0
1644052143.220094,58,16,0
1644052143.221285,72,16,0
1644052143.2238562,59,16,0
1644052143.226208,38,16,0
1644052143.2274618,25,16,0
1644052143.2286599,25,16,0
1644052143.231369,29,16,0
1644052143.233794,24,16,0
1644052143.234941,10,16,0
1644052143.2377548,7,16,0
1644052143.238789,17,16,0
1644052143.241396,35,16,0
1644052143.2427468,49,16,0
1644052143.2452428,41,16,0
1644052143.247533,26,16,0
1644052143.248806,34,16,0
1644052143.25152,54,16,0
1644052143.252688,55,16,0
1644052143.2550888,36,16,0
1644052143.2564979,22,16,0
1644052143.258985,25,16,0
1644052143.2677681,23,16,0
1644052143.2690282,12,16,0
1644052143.270314,2,16,0
1644052143.271432,-12,16,0
1644052143.272785,-10,16,0
1644052143.275294,11,16,0
1644052143.276542,42,16,0
1644052143.277767,50,16,0
1644052143.2788281,34,16,0
1644052143.281238,34,16,0
1644052143.2825541,56,16,0
1644052143.284034,67,16,0
1644052143.285236,74,16,0
1644052143.28777,82,16,0
1644052143.2889411,85,16,0
1644052143.2902641,70,16,0
1644052143.291512,39,16,0
1644052143.340235,33,16,0
1644052143.3415449,42,16,0
1644052143.342759,53,16,0
1644052143.3440242,57,16,0
1644052143.345084,69,16,0
1644052143.348871,72,16,0
1644052143.3489668,66,16,0
1644052143.349057,57,16,0
1644052143.349143,55,16,0
1644052143.349229,57,16,0
1644052143.3493152,49,16,0
1644052143.349401,27,16,0
1644052143.349487,7,16,0
1644052143.3495731,-1,16,0
1644052143.349659,-2,16,0
1644052143.349744,4,16,0
1644052143.349917,11,16,0
1644052143.350004,18,16,0
1644052143.35009,36,16,0
1644052143.350175,39,16,0
1644052143.350262,20,16,0
1644052143.350347,3,16,0
1644052143.350432,9,16,0
1644052143.350517,39,16,0
1644052143.350602,56,16,0
1644052143.350687,53,16,0
1644052143.350772,38,16,0
1644052143.350857,36,16,0
1644052143.3512409,37,16,0
1644052143.353024,22,16,0
1644052143.353796,16,16,0
1644052143.354969,18,16,0
1644052143.3574378,22,16,0
1644052143.358708,40,16,0
1644052143.3599381,56,16,0
1644052143.362389,59,16,1
1644052143.3636532,52,16,1
1644052143.366184,55,16,1
1644052143.367389,64,16,1
1644052143.3701499,54,16,1
1644052143.371319,27,16,1
1644052143.373905,10,16,1
1644052143.376496,3,16,1
1644052143.377703,2,16,1
1644052143.3800588,0,16,1
1644052143.3812768,17,16,1
1644052143.383831,55,16,1
1644052143.3861692,58,16,1
1644052143.387398,35,16,1
1644052143.388788,24,16,1
1644052143.391223,33,16,1
1644052143.394001,52,16,1
1644052143.3950999,58,16,1
1644052143.3975492,43,16,1
1644052143.398916,25,16,1
1644052143.4012868,20,16,1
1644052143.403903,22,16,1
1644052143.405293,26,16,1
1644052143.4063559,29,16,1
1644052143.408989,22,16,1
1644052143.4116411,11,16,1
1644052143.4125922,16,16,1
1644052143.41502,23,16,1
1644052143.416219,22,16,1
1644052143.418974,20,16,1
1644052143.4213572,32,16,1
1644052143.422745,40,16,1
1644052143.425202,29,16,1
1644052143.4276931,20,16,1
1644052143.4288409,32,16,1
1644052143.430039,39,16,1
1644052143.432524,36,16,1
1644052143.435195,27,16,1
1644052143.436509,28,16,1
1644052143.438931,41,16,1
1644052143.4402518,37,16,1
1644052143.442698,12,16,1
1644052143.443915,6,16,1
1644052143.446306,9,16,1
1644052143.4475362,6,16,1
1644052143.45025,-2,16,1
1644052143.452696,-5,16,1
1644052143.4538372,12,16,1
1644052143.456526,33,16,1
1644052143.457752,38,16,1
1644052143.460203,50,16,1
1644052143.461667,76,16,1
1644052143.4639418,100,16,1
1644052143.464952,101,16,1
1644052143.46769,86,16,1
1644052143.470127,69,16,1
1644052143.471467,55,16,1
1644052143.47402,58,16,1
1644052143.475214,66,16,1
1644052143.4777129,70,16,1
1644052143.4787772,65,16,1
1644052143.481318,44,16,1
1644052143.4825752,32,16,1
1644052143.485204,27,16,1
1644052143.4877708,50,16,1
1644052143.496325,67,16,1
1644052143.497505,61,16,1
1644052143.5002801,42,16,1
1644052143.501554,19,16,1
1644052143.501654,1,16,1
1644052143.50175,-1,16,1
1644052143.502742,9,16,1
1644052143.503981,26,16,1
1644052143.505288,39,16,1
1644052143.5066729,44,16,1
1644052143.508981,58,16,1
1644052143.511383,68,16,1
1644052143.512589,59,16,1
1644052143.513794,41,16,1
1644052143.5163531,23,16,1
1644052143.518979,18,16,1
1644052143.520242,24,16,1
1644052143.522719,28,16,1
1644052143.523974,27,16,1
1644052143.526475,37,16,1
1644052143.5277078,42,16,1
1644052143.5300548,39,16,1
1644052143.532601,36,16,1
1644052143.534145,38,16,1
1644052143.536292,53,16,1
1644052143.5376158,54,16,1
1644052143.540234,34,16,1
1644052143.541383,18,16,1
1644052143.544034,21,16,1
1644052143.545171,32,16,1
1644052143.5475972,37,16,1
1644052143.550136,39,16,1
1644052143.551538,27,16,1
1644052143.55525,9,16,1
1644052143.556447,4,16,1
1644052143.557748,7,16,1
1644052143.5601978,17,16,1
1644052143.561554,18,16,1
1644052143.563793,10,16,1
1644052143.564947,6,16,1
1644052143.568974,8,16,1
1644052143.57024,7,16,1
1644052143.571434,3,16,1
1644052143.572782,1,16,1
1644052143.575222,-17,16,1
1644052143.577713,-22,16,1
1644052143.578848,4,16,1
1644052143.5800052,24,16,1
1644052143.584084,13,16,1
1644052143.585221,-4,16,1
1644052143.586634,16,16,1
1644052143.5888588,59,16,1
1644052143.5903249,70,16,1
1644052143.592691,44,16,1
